Message ID ,Tag_RR,Tag_WG
MO1,Sy,sy
1_1,Aa,aa
5_1,Aa,aa
3_1,Aa,aa
2_1,Aa,aa
4_1,Aa,aa
MO2,Sy,sy
3_2,Aa,aa
1_2,Aa,aa
2_2,Co,aa
5_2,Aa,aa
4_2,Co,co
2_3,Sd,sd
3_3,Aa,aa
5_3,Qu,ct
2_4,Aa,aa
5_4,Aa,aa/ re
3_4,Sd,rj 
4_3,Aa,re/ aa
1_3,Aa,aa
5_5,Aa,aa/ re
3_5,Ac,ac
2_5,Qu,qu
3_6,Re/ Sd,sd
1_4,Sd,sd
4_4,Qu,qu
3_7,Cs,sd
MO3,Sy,sy
3_8,Re/ Qu,qu/ ac
2_6,Aa,aa/ sd
3_9,Cs,ac
5_6,Co,aa/ ac
3_10,Aa/ Ct,ad/ct
1_5,Sd,aa/ sd
2_7,Ac,aa
5_7,Ic,aa
2_8,Ac,ac
1_6,Aa,aa
2_9,Ac,ac
5_8,Aa,aa
1_7,IC/ Ac,ct/ rj
3_11,Rj,rj 
1_8,Aa,aa
5_9,Aa,aa
2_10,Qu/ Ac,qu
4_5,Ag,ct/ ag
1_9,Sd,sd
3_12,Ct,qu
5_10,Ic,ct
2_11,Ac,ac
1_10,Aa,aa
MO4,Sy,sy
5_11,Aa,aa
5_12,Aa,aa
MO5,Sy,sy
3_13,Aa,aa
5_13,Nv,aa
4_6,Aa,aa/ co 
5_14,Aa,aa
3_14,Aa,aa
5_15,Aa,aa
3_15,AA,aa
5_16,Aa,aa
